"Release_Date","Title","Popularity","Vote_Count","Vote_Average","Original_Language","Genre"
"2019-11-21","Behind the Trees",22.941,"33","5.6","en","Horror, Thriller, Mystery"
"2014-09-05","Falcon Rising",22.94,"269","6.2","en","Adventure, Action"
"1978-06-27","Convoy",22.939,"249","6.4","en","Action, Comedy"
"1971-08-25","The Decameron",22.934,"214","7.0","it","History, Drama, Comedy"
"2019-05-16","The Silence",22.929,"1171","6.0","en","Horror, Drama, Thriller, Fantasy"
"2013-10-25","The Counselor",22.925,"1525","5.2","en","Thriller, Crime, Drama"
"2015-11-13","Heist",22.911,"758","6.1","en","Action"
"1989-03-31","Heathers",22.91,"1271","7.3","en","Comedy, Crime"
"2019-05-03","Tolkien",22.907,"1053","7.0","en","War, Drama, History, Romance"
"2016-08-11","Hell or High Water",22.905,"3647","7.3","en","Western, Crime"
"1984-02-17","Footloose",22.905,"1584","6.6","en","Drama, Romance"
"1996-06-10","The Cable Guy",22.904,"1832","5.9","en","Comedy, Drama, Thriller"
"2000-12-22","Dracula 2000",22.903,"500","5.1","en","Thriller, Horror"
"2018-05-12","Asterix: The Secret of the Magic Potion",22.902,"959","6.9","fr","Family, Animation, Comedy, Adventure"
"2006-12-07","Charlotte's Web",22.901,"1134","6.2","en","Comedy, Family, Fantasy"
"2013-02-08","I Give It a Year",22.9,"625","5.5","en","Comedy, Romance"
"2007-10-26","Trick 'r Treat",22.897,"1327","6.9","en","Horror, Comedy"
"2013-09-13","The Family",22.895,"2481","6.4","en","Crime, Comedy, Action"
"1996-07-24","A Time to Kill",22.894,"1712","7.4","en","Crime, Drama, Thriller"
"2011-12-08","Catch.44",22.889,"272","5.1","en","Drama, Action, Thriller"
"1995-05-12","Crimson Tide",22.886,"1297","7.2","en","War, Thriller, Action, Drama"
"2020-02-28","Mortal",22.882,"358","6.5","en","Action, Fantasy, Thriller"
"2018-08-16","Big Brother",22.881,"96","7.7","zh","Action, Drama, Comedy"
"1990-05-25","The Witches",22.878,"975","6.9","en","Adventure, Fantasy, Horror, Family"
"2004-12-22","Meet the Fockers",22.878,"3913","6.2","en","Comedy, Romance"
"2022-03-09","Soy Libre",22.877,"0","0.0","fr","Documentary"
"2010-08-18","Vampires Suck",22.873,"1017","4.2","en","Comedy"
"2021-11-12","Procession",22.871,"13","6.1","en","Documentary"
"2019-12-05","The Immortal",22.869,"376","6.7","it","Crime, Drama, Thriller"
"2006-06-24","I'll Always Know What You Did Last Summer",22.869,"269","4.2","en","Horror"
"2014-12-04","The Pyramid",22.849,"805","5.2","en","Horror"
"2016-11-18","Manchester by the Sea",22.844,"4778","7.5","en","Drama"
"2018-10-13","The Haunted",22.842,"63","6.7","en","Horror, Thriller, Mystery"
"2019-05-23","The Poison Rose",22.834,"223","4.5","en","Thriller, Crime"
"2014-05-02","Walk of Shame",22.834,"1198","5.9","en","Comedy"
"1993-01-15","Nowhere to Run",22.833,"507","6.2","en","Action, Drama, Thriller, Romance"
"1987-04-12","Escape from Sobibor",22.82,"143","7.3","en","Drama, Thriller, TV Movie, War"
"1979-08-14","Caligula",22.805,"538","5.8","en","Drama, History, Romance"
"2017-06-28","Tom and Jerry: Willy Wonka and the Chocolate Factory",22.803,"86","6.8","en","Family, Animation, Adventure, Comedy"
"2017-10-12","The Man Who Invented Christmas",22.801,"645","6.8","en","Drama, History, Comedy, Family"
"2001-07-06","Pokémon 4Ever: Celebi - Voice of the Forest",22.795,"305","6.4","ja","Adventure, Fantasy, Animation, Science Fiction, Family"
"2007-06-01","Knocked Up",22.793,"3247","6.2","en","Comedy, Romance, Drama"
"2005-09-16","Venom",22.786,"242","5.5","en","Horror, Thriller"
"2022-03-09","Theo and the Metamorphosis",22.784,"0","0.0","fr","Drama"
"2018-08-09","BlacKkKlansman",22.774,"6298","7.6","en","Comedy, Crime, Drama, History"
"2018-06-29","Tau",22.769,"990","6.2","en","Science Fiction, Thriller"
"2017-09-23","Brawl in Cell Block 99",22.769,"1026","7.0","en","Action, Crime, Thriller"
"2009-07-21","G-Force",22.765,"1486","5.4","en","Family, Fantasy, Action, Adventure, Comedy"
"2003-11-14","Looney Tunes: Back in Action",22.765,"1202","6.4","en","Animation, Comedy, Family"
"2014-04-04","Alien Abduction",22.758,"274","5.7","en","Horror, Science Fiction, Thriller"
"2015-06-26","Absolutely Anything",22.757,"1106","5.8","en","Comedy, Science Fiction"
"2013-03-03","Monster High: Scaris City of Frights",22.756,"86","7.5","en","Animation, Fantasy"
"2019-02-05","The Knight of Shadows: Between Yin and Yang",22.753,"83","5.5","zh","Action, Fantasy"
"1993-07-28","Robin Hood: Men in Tights",22.753,"1605","6.6","en","Comedy"
"2011-11-03","Barbie: A Perfect Christmas",22.744,"235","6.7","en","Animation, Family"
"2017-10-12","6 Below: Miracle on the Mountain",22.743,"307","5.8","en","Thriller, Drama"
"2017-12-20","Promise at Dawn",22.731,"357","7.4","fr","Drama, Romance"
"2008-02-07","Fool's Gold",22.719,"1180","5.7","en","Romance, Comedy, Adventure"
"2021-02-12","Judas and the Black Messiah",22.718,"966","7.4","en","Drama, History"
"2008-03-27","Superhero Movie",22.716,"1368","5.2","en","Action, Comedy, Science Fiction"
"2014-08-27","The November Man",22.711,"1234","6.1","en","Crime, Action, Thriller"
"2010-10-28","The Other Woman",22.711,"308","6.2","en","Drama"
"2019-03-05","The Hard Way",22.708,"106","5.4","en","Action"
"2022-03-09","A Guide to Love and Fighting Capitalism",22.705,"0","0.0","fr","Documentary"
"2021-07-16","Pig",22.705,"609","6.7","en","Drama, Thriller"
"2015-03-05","Unfinished Business",22.703,"673","5.4","en","Comedy"
"2018-10-04","Bad Times at the El Royale",22.693,"2828","6.8","en","Thriller, Drama, Mystery, Crime"
"2020-11-26","Happiest Season",22.69,"783","7.4","en","Romance, Comedy"
"2005-02-04","The Wedding Date",22.687,"969","6.8","en","Comedy, Romance"
"2013-08-30","Afternoon Delight",22.684,"163","5.8","en","Comedy, Drama"
"1989-08-18","Casualties of War",22.683,"641","7.1","en","Drama, History, War"
"2014-06-19","The Anomaly",22.681,"273","4.9","en","Thriller, Action, Science Fiction"
"2002-03-04","The Time Machine",22.677,"1775","6.2","en","Science Fiction, Adventure, Action"
"2019-12-29","S.W.A.T.",22.676,"73","7.5","zh","Action, Crime, Drama"
"2018-03-07","The Strangers: Prey at Night",22.67,"1066","5.6","en","Horror, Thriller"
"2018-02-02","Winchester",22.666,"1490","5.9","en","Horror, Thriller"
"2013-08-24","Hakuouki: Wild Dance of Kyoto",22.666,"12","6.2","ja","Action, Animation, Drama, Romance"
"1986-06-27","Labyrinth",22.659,"1839","7.3","en","Adventure, Family, Fantasy"
"2003-12-12","Girl with a Pearl Earring",22.658,"1129","6.6","en","Drama, Romance"
"2015-07-22","Assassination",22.657,"169","7.4","ko","Action, Drama"
"1981-05-27","Possession",22.653,"665","7.3","fr","Horror"
"2016-01-07","The Forest",22.652,"1478","5.2","en","Horror, Thriller, Mystery"
"1998-11-06","The Waterboy",22.647,"1381","6.0","en","Comedy"
